id1 id2 length score length2 e_value identities gaps strand
SRR7365093.190 190 602 102 55 1e-21 60/62 2/62 Plus/Plus
SRR7365093.28902 28902 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28901 28901 602 100 54 5e-21 68/74 4/74 Plus/Plus
SRR7365093.28897 28897 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28892 28892 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28890 28890 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28888 28888 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28887 28887 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28881 28881 602 100 54 5e-21 68/74 4/74 Plus/Plus
SRR7365093.28879 28879 602 100 54 5e-21 68/74 4/74 Plus/Plus
SRR7365093.28865 28865 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28849 28849 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28832 28832 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28820 28820 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28808 28808 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28801 28801 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28798 28798 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28790 28790 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28785 28785 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28784 28784 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28773 28773 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28763 28763 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28759 28759 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28756 28756 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28755 28755 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28750 28750 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28749 28749 602 100 54 5e-21 68/74 4/74 Plus/Plus
SRR7365093.28733 28733 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28732 28732 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28720 28720 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28718 28718 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28717 28717 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28713 28713 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28705 28705 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28702 28702 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28701 28701 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28682 28682 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28670 28670 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28669 28669 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28667 28667 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28665 28665 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28651 28651 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28648 28648 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28644 28644 602 100 54 5e-21 68/74 4/74 Plus/Plus
SRR7365093.28642 28642 602 100 54 5e-21 63/67 1/67 Plus/Plus
SRR7365093.28637 28637 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28635 28635 602 100 54 5e-21 68/74 4/74 Plus/Plus
SRR7365093.28619 28619 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28609 28609 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28607 28607 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28594 28594 602 100 54 5e-21 68/74 4/74 Plus/Plus
SRR7365093.28591 28591 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28580 28580 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28575 28575 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28573 28573 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28561 28561 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28557 28557 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28553 28553 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28549 28549 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28545 28545 602 100 54 5e-21 68/74 4/74 Plus/Plus
SRR7365093.28543 28543 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28541 28541 602 100 54 5e-21 59/61 2/61 Plus/Plus
SRR7365093.28534 28534 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28525 28525 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28518 28518 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28508 28508 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28499 28499 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28498 28498 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28495 28495 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28491 28491 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28488 28488 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28487 28487 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28478 28478 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28464 28464 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28458 28458 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28455 28455 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28449 28449 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28446 28446 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28436 28436 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR7365093.28435 28435 602 100 54 5e-21 64/68 3/68 Plus/Plus
SRR3124626.9364 JAO4R9M03F3ZXA 633 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.7645 JAO4R9M03G7VXF 693 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.6891 JAO4R9M03G7JYH 629 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.5438 JAO4R9M03HC2IG 692 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.4503 JAO4R9M03GTP6K 630 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.3208 JAO4R9M03FPDNS 622 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.1515 JAO4R9M03HMCQ2 631 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.361 JAO4R9M03HFY3D 630 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.278 JAO4R9M03F8EXQ 629 113 61 4e-25 72/77 2/77 Plus/Minus
SRR3124626.5655 JAO4R9M03FSRS6 625 111 60 2e-24 72/77 3/77 Plus/Minus
SRR3124626.3981 JAO4R9M03F4SFS 630 111 60 2e-24 72/77 3/77 Plus/Minus
SRR3124626.2802 JAO4R9M03GQFMI 637 111 60 2e-24 72/77 3/77 Plus/Minus
SRR3124626.11702 JAO4R9M03G5876 640 110 59 6e-24 73/79 3/79 Plus/Minus
SRR3124626.14989 JAO4R9M03HHCFK 633 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.13901 JAO4R9M03G1XYB 646 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.11527 JAO4R9M03FUAIQ 695 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.11134 JAO4R9M03FU7GG 639 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.9136 JAO4R9M03HD3MY 624 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.9011 JAO4R9M03GKELV 645 108 58 2e-23 74/81 4/81 Plus/Minus
SRR3124626.8040 JAO4R9M03GTYU6 648 108 58 2e-23 67/71 2/71 Plus/Minus
SRR3124626.7734 JAO4R9M03GHYJV 643 108 58 2e-23 60/61 0/61 Plus/Minus
SRR3124626.7644 JAO4R9M03GL5OO 642 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.7437 JAO4R9M03FXUFS 646 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.7281 JAO4R9M03GB4N1 633 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.6646 JAO4R9M03F2XS7 643 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.6562 JAO4R9M03FX899 632 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.6480 JAO4R9M03F6VIH 637 108 58 2e-23 60/61 0/61 Plus/Minus
SRR3124626.5656 JAO4R9M03G1MD7 632 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.5532 JAO4R9M03FV8HO 635 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.4881 JAO4R9M03GYMSB 629 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.4436 JAO4R9M03HLESU 620 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.4076 JAO4R9M03GGWFM 638 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.2823 JAO4R9M03FYPNZ 633 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.2295 JAO4R9M03GR9F4 630 108 58 2e-23 72/78 4/78 Plus/Minus
SRR3124626.2101 JAO4R9M03GJPIU 633 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.1824 JAO4R9M03G7K7C 633 108 58 2e-23 72/78 4/78 Plus/Minus
SRR3124626.830 JAO4R9M03HA5BE 632 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.828 JAO4R9M03FOR2T 638 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.400 JAO4R9M03G43A5 627 108 58 2e-23 72/78 3/78 Plus/Minus
SRR3124626.14870 JAO4R9M03HNW7N 650 106 57 7e-23 64/67 1/67 Plus/Minus
SRR3124626.7722 JAO4R9M03GDY8N 646 106 57 7e-23 64/67 1/67 Plus/Minus
SRR3124626.7003 JAO4R9M03HMLBA 640 106 57 7e-23 64/67 1/67 Plus/Minus
SRR3124626.11238 JAO4R9M03FNS9C 648 104 56 3e-22 72/79 4/79 Plus/Minus
SRR3124626.11035 JAO4R9M03FYQQF 638 104 56 3e-22 72/79 4/79 Plus/Minus
SRR3124626.9696 JAO4R9M03GTCJO 648 104 56 3e-22 72/79 4/79 Plus/Minus
SRR3124626.4096 JAO4R9M03FQSYZ 652 104 56 3e-22 72/79 4/79 Plus/Minus
SRR3124626.3675 JAO4R9M03FYVI3 636 104 56 3e-22 72/79 4/79 Plus/Minus
SRR3124626.2406 JAO4R9M03GLKFL 636 104 56 3e-22 72/79 4/79 Plus/Minus
SRR3124626.1569 JAO4R9M03GSXBM 632 104 56 3e-22 72/79 4/79 Plus/Minus
SRR3124626.14159 JAO4R9M03F9K3C 619 102 55 9e-22 65/69 3/69 Plus/Minus
SRR3124626.13448 JAO4R9M03FNY54 669 102 55 9e-22 62/65 1/65 Plus/Minus
SRR3124626.12501 JAO4R9M03GC2SU 641 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.12440 JAO4R9M03GXLAB 644 102 55 9e-22 62/65 1/65 Plus/Minus
SRR3124626.11452 JAO4R9M03HL221 642 102 55 9e-22 71/78 4/78 Plus/Minus
SRR3124626.11184 JAO4R9M03G1LXL 627 102 55 9e-22 70/77 2/77 Plus/Minus
SRR3124626.10112 JAO4R9M03G4L8Z 650 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.9545 JAO4R9M03G1PWT 627 102 55 9e-22 70/77 2/77 Plus/Minus
SRR3124626.9353 JAO4R9M03F6X8R 637 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.9302 JAO4R9M03F6WEP 624 102 55 9e-22 70/77 2/77 Plus/Minus
SRR3124626.8319 JAO4R9M03HG7PQ 644 102 55 9e-22 72/79 5/79 Plus/Minus
SRR3124626.8243 JAO4R9M03FXRKG 635 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.8164 JAO4R9M03HAZF6 668 102 55 9e-22 66/71 1/71 Plus/Minus
SRR3124626.7755 JAO4R9M03FZDJS 632 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.7068 JAO4R9M03FWVYS 638 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.6210 JAO4R9M03G3P9F 636 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.6093 JAO4R9M03G8RYR 634 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.5948 JAO4R9M03GPKAS 643 102 55 9e-22 60/62 2/62 Plus/Minus
SRR3124626.5922 JAO4R9M03GM5GM 631 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.3654 JAO4R9M03GZZ4W 646 102 55 9e-22 62/65 1/65 Plus/Minus
SRR3124626.3441 JAO4R9M03GWCYC 634 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.2528 JAO4R9M03GFU1E 637 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.2367 JAO4R9M03HIZR3 632 102 55 9e-22 62/65 1/65 Plus/Minus
SRR3124626.2156 JAO4R9M03G7KPM 640 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.1619 JAO4R9M03HIMB2 622 102 55 9e-22 70/77 2/77 Plus/Minus
SRR3124626.1491 JAO4R9M03F460D 624 102 55 9e-22 70/77 2/77 Plus/Minus
SRR3124626.1342 JAO4R9M03GTY4L 636 102 55 9e-22 73/81 3/81 Plus/Minus
SRR3124626.1321 JAO4R9M03HCBBM 627 102 55 9e-22 66/71 2/71 Plus/Minus
SRR3124626.1174 JAO4R9M03HMOU4 641 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.1118 JAO4R9M03G5Q1V 653 102 55 9e-22 60/62 2/62 Plus/Minus
SRR3124626.966 JAO4R9M03GQ14Q 630 102 55 9e-22 70/77 2/77 Plus/Minus
SRR3124626.701 JAO4R9M03FWR57 636 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.550 JAO4R9M03FVBH5 638 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.454 JAO4R9M03FWSVD 637 102 55 9e-22 59/61 0/61 Plus/Minus
SRR3124626.22 JAO4R9M03G20OB 646 102 55 9e-22 60/62 2/62 Plus/Minus
SRR3124626.14353 JAO4R9M03GTBA5 774 100 54 3e-21 58/60 0/60 Plus/Minus
SRR3124626.14025 JAO4R9M03GFY1M 879 100 54 3e-21 62/65 3/65 Plus/Minus
SRR3124626.9191 JAO4R9M03FSBOS 685 100 54 3e-21 58/60 0/60 Plus/Minus
SRR3124626.6249 JAO4R9M03GA66I 628 100 54 3e-21 57/58 1/58 Plus/Minus
SRR3124626.5470 JAO4R9M03HFQ7M 801 100 54 3e-21 59/61 2/61 Plus/Minus
SRR3124626.5465 JAO4R9M03FZHM4 647 100 54 3e-21 62/66 0/66 Plus/Minus
SRR3124626.2095 JAO4R9M03GTDPG 631 100 54 3e-21 66/71 3/71 Plus/Minus
SRR3124626.1414 JAO4R9M03GQKO7 609 100 54 3e-21 61/64 2/64 Plus/Minus
SRR3124626.14017 JAO4R9M03GR1SL 643 99.0 53 1e-20 58/61 0/61 Plus/Minus
SRR3124626.13532 JAO4R9M03FQKUS 648 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.11975 JAO4R9M03HHK1K 670 99.0 53 1e-20 62/66 1/66 Plus/Minus
SRR3124626.10930 JAO4R9M03F0GJX 662 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.10664 JAO4R9M03FOEXF 702 99.0 53 1e-20 60/63 2/63 Plus/Minus
SRR3124626.8216 JAO4R9M03G9NF4 674 99.0 53 1e-20 58/60 2/60 Plus/Minus
SRR3124626.7681 JAO4R9M03GXD6E 681 99.0 53 1e-20 58/60 2/60 Plus/Minus
SRR3124626.7533 JAO4R9M03GEXKS 684 99.0 53 1e-20 58/60 2/60 Plus/Minus
SRR3124626.7514 JAO4R9M03G0WAK 643 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.6275 JAO4R9M03G2JT0 648 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.5839 JAO4R9M03GO2U7 665 99.0 53 1e-20 63/67 3/67 Plus/Minus
SRR3124626.4232 JAO4R9M03GYWGI 641 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.4190 JAO4R9M03GNYD3 650 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.4110 JAO4R9M03GJ2FK 649 99.0 53 1e-20 71/79 4/79 Plus/Minus
SRR3124626.3421 JAO4R9M03GWWX4 674 99.0 53 1e-20 58/60 2/60 Plus/Minus
SRR3124626.3053 JAO4R9M03GXGJQ 689 99.0 53 1e-20 58/60 2/60 Plus/Minus
SRR3124626.3013 JAO4R9M03GXH0H 676 99.0 53 1e-20 58/60 2/60 Plus/Minus
SRR3124626.2918 JAO4R9M03HLRWY 650 99.0 53 1e-20 69/76 4/76 Plus/Minus
SRR3124626.2777 JAO4R9M03GMSF6 641 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.1807 JAO4R9M03GT878 645 99.0 53 1e-20 62/66 1/66 Plus/Minus
SRR3124626.1784 JAO4R9M03GW37L 626 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.1776 JAO4R9M03GJOLQ 672 99.0 53 1e-20 58/60 2/60 Plus/Minus
SRR3124626.1298 JAO4R9M03HKQJC 617 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.1080 JAO4R9M03GSDHY 652 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.862 JAO4R9M03GAUAS 673 99.0 53 1e-20 58/60 2/60 Plus/Minus
SRR3124626.799 JAO4R9M03F891X 634 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.194 JAO4R9M03GQPE9 648 99.0 53 1e-20 57/59 0/59 Plus/Minus
SRR3124626.15867 JAO4R9M03GVE5F 863 97.1 52 4e-20 62/66 3/66 Plus/Minus
SRR3124626.15347 JAO4R9M03G1VIY 632 97.1 52 4e-20 58/61 2/61 Plus/Minus
SRR3124626.15309 JAO4R9M03FNRLT 676 97.1 52 4e-20 59/62 1/62 Plus/Minus
SRR3124626.14693 JAO4R9M03FQOLP 660 97.1 52 4e-20 56/58 0/58 Plus/Minus
SRR3124626.14484 JAO4R9M03HKLE2 616 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.14475 JAO4R9M03FZ6KZ 681 97.1 52 4e-20 56/58 0/58 Plus/Minus
SRR3124626.14332 JAO4R9M03GSEZ4 617 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.13538 JAO4R9M03GCT1S 683 97.1 52 4e-20 56/58 0/58 Plus/Minus
SRR3124626.13284 JAO4R9M03G60D0 843 97.1 52 4e-20 57/59 2/59 Plus/Minus
SRR3124626.12864 JAO4R9M03F5JRS 650 97.1 52 4e-20 59/62 1/62 Plus/Minus
SRR3124626.12055 JAO4R9M03F7DHM 669 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.11077 JAO4R9M03HMT04 652 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.10097 JAO4R9M03F909N 623 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.10094 JAO4R9M03GA3HF 666 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.9142 JAO4R9M03G2J83 627 97.1 52 4e-20 62/67 0/67 Plus/Minus
SRR3124626.8878 JAO4R9M03GV6B2 616 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.8690 JAO4R9M03G104S 643 97.1 52 4e-20 59/62 1/62 Plus/Minus
SRR3124626.7846 JAO4R9M03GL34F 625 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.7436 JAO4R9M03GC590 624 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.7138 JAO4R9M03GCQ88 674 97.1 52 4e-20 71/79 5/79 Plus/Minus
SRR3124626.7130 JAO4R9M03GIC7X 624 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.6636 JAO4R9M03HBBUW 624 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.6305 JAO4R9M03GD2Q0 622 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.6057 JAO4R9M03HIAG4 642 97.1 52 4e-20 56/58 0/58 Plus/Minus
SRR3124626.5950 JAO4R9M03G7ENP 645 97.1 52 4e-20 71/79 5/79 Plus/Minus
SRR3124626.5529 JAO4R9M03G100Y 546 97.1 52 4e-20 62/67 0/67 Plus/Minus
SRR3124626.5461 JAO4R9M03GD0B4 656 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.5189 JAO4R9M03GQQP7 640 97.1 52 4e-20 59/62 1/62 Plus/Minus
SRR3124626.4760 JAO4R9M03HGZRB 617 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.4583 JAO4R9M03G080T 657 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.4386 JAO4R9M03FWJP1 541 97.1 52 4e-20 62/67 0/67 Plus/Minus
SRR3124626.4157 JAO4R9M03GF7QI 617 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.4050 JAO4R9M03HITJK 653 97.1 52 4e-20 56/58 0/58 Plus/Minus
SRR3124626.3692 JAO4R9M03GXQ1X 616 97.1 52 4e-20 56/58 0/58 Plus/Minus
SRR3124626.3676 JAO4R9M03G9464 617 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.3491 JAO4R9M03GV8B9 620 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.3463 JAO4R9M03FOI0G 626 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.3231 JAO4R9M03FS33L 620 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.3103 JAO4R9M03FWCWU 630 97.1 52 4e-20 60/64 0/64 Plus/Minus
SRR3124626.3066 JAO4R9M03GDDHC 657 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.2966 JAO4R9M03FZVOJ 649 97.1 52 4e-20 72/81 3/81 Plus/Minus
SRR3124626.2488 JAO4R9M03GZRMF 632 97.1 52 4e-20 71/79 5/79 Plus/Minus
SRR3124626.1832 JAO4R9M03GHKTO 647 97.1 52 4e-20 56/58 0/58 Plus/Minus
SRR3124626.1587 JAO4R9M03FXBGH 621 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.1542 JAO4R9M03GQJ2J 619 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.1425 JAO4R9M03GU1L0 625 97.1 52 4e-20 56/58 0/58 Plus/Minus
SRR3124626.915 JAO4R9M03HKNGE 658 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.871 JAO4R9M03F8NEH 615 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.637 JAO4R9M03GA08G 614 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.354 JAO4R9M03GFXRN 617 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.352 JAO4R9M03F2UVC 654 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.334 JAO4R9M03G971N 615 97.1 52 4e-20 58/61 0/61 Plus/Minus
SRR3124626.185 JAO4R9M03FVTJQ 646 97.1 52 4e-20 59/62 1/62 Plus/Minus
SRR3124626.118 JAO4R9M03F7JPM 653 97.1 52 4e-20 76/87 3/87 Plus/Minus
SRR3124626.93 JAO4R9M03GTEBR 620 97.1 52 4e-20 69/77 1/77 Plus/Minus
SRR3124626.15879 JAO4R9M03FOSAI 712 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.15745 JAO4R9M03GX0I0 631 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.15552 JAO4R9M03GYTGQ 621 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.15469 JAO4R9M03HKCOZ 669 95.3 51 2e-19 65/71 3/71 Plus/Minus
SRR3124626.15466 JAO4R9M03F8G6Z 630 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.15369 JAO4R9M03GM043 615 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.15349 JAO4R9M03G4IZE 599 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.15216 JAO4R9M03GF4AO 621 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.15037 JAO4R9M03GMLVK 621 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14843 JAO4R9M03GFNDR 667 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14832 JAO4R9M03GSJG7 630 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14738 JAO4R9M03GV4OH 643 95.3 51 2e-19 56/59 0/59 Plus/Minus
SRR3124626.14457 JAO4R9M03HLLB4 603 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14421 JAO4R9M03FS95Y 615 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14387 JAO4R9M03F64EY 622 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14259 JAO4R9M03GCNUR 596 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14203 JAO4R9M03GWPCY 657 95.3 51 2e-19 57/60 0/60 Plus/Minus
SRR3124626.14072 JAO4R9M03GGMW4 581 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14033 JAO4R9M03GUGXT 641 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.14020 JAO4R9M03GVJQM 603 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.13864 JAO4R9M03GBUO1 635 95.3 51 2e-19 57/60 0/60 Plus/Minus
SRR3124626.13673 JAO4R9M03GD11S 619 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.13483 JAO4R9M03GDL69 609 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.13363 JAO4R9M03HF8DC 599 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.13295 JAO4R9M03F9Q83 599 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.13165 JAO4R9M03HDCLS 596 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.13120 JAO4R9M03G4N0P 600 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.13097 JAO4R9M03F5A2K 628 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.12977 JAO4R9M03FQZJB 592 95.3 51 2e-19 56/58 2/58 Plus/Minus
SRR3124626.12886 JAO4R9M03HKXSS 579 95.3 51 2e-19 56/58 1/58 Plus/Minus
SRR3124626.12670 JAO4R9M03GRY3O 651 95.3 51 2e-19 57/60 0/60 Plus/Minus
SRR3124626.12555 JAO4R9M03G4416 647 95.3 51 2e-19 68/76 4/76 Plus/Minus
SRR3124626.12375 JAO4R9M03GZDGZ 625 95.3 51 2e-19 56/58 2/58 Plus/Minus
